StdParamName,SourceGroup,LogTransf,UseInStressorID,DirIncStress,SSIndex,SSTVname.bmi,SensMax.bmi,SensMin.bmi,SSTVname.alg,SensMax.alg,SensMin.alg,SSTVname.fish,SensMax.fish,SensMin.fish,Label
PBDE_191_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-191 (pg/g)
PBDE_037_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-037 (pg/g)
PBDE_008_011_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-008/011 (pg/g)
PBDE_028_033_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-028/033 (pg/g)
PBDE_066_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-066 (pg/g)
PBDE_071_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-071 (pg/g)
PBDE_075_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-075 (pg/g)
PBDE_079_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-079 (pg/g)
PBDE_155_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-155 (pg/g)
PBDE_206_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-206 (pg/g)
PBDE_015_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-015 (pg/g)
PBDE_017_025_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-017/025 (pg/g)
PBDE_032_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-032 (pg/g)
PBDE_035_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-035 (pg/g)
PBDE_051_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-051 (pg/g)
PBDE_077_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-077 (pg/g)
PBDE_119_120_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-119/120 (pg/g)
PBDE_140_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-140 (pg/g)
PBDE_154_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-154 (pg/g)
PBDE_183_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-183 (pg/g)
PBDE_207_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-207 (pg/g)
PBDE_208_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-208 (pg/g)
Moisture_Content_PCT,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Moisture Content (PCT)
PCB_008_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-008 (pg/g)
PCB_015_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-015 (pg/g)
PCB_016_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-016 (pg/g)
PCB_017_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-017 (pg/g)
PCB_018_030_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-018/030 (pg/g)
PCB_020_028_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-020/028 (pg/g)
PCB_021_033_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-021/033 (pg/g)
PCB_022_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-022 (pg/g)
PCB_026_029_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-026/029 (pg/g)
PCB_031_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-031 (pg/g)
PCB_032_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-032 (pg/g)
PCB_037_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-037 (pg/g)
PCB_040_041_071_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-040/041/071 (pg/g)
PCB_044_047_065_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-044/047/065 (pg/g)
PCB_049_069_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-049/069 (pg/g)
PCB_052_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-052 (pg/g)
PCB_056_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-056 (pg/g)
PCB_061_070_074_076_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-061/070/074/076 (pg/g)
PCB_064_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-064 (pg/g)
PCB_066_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-066 (pg/g)
PCB_082_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-082 (pg/g)
PCB_083_099_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-083/099 (pg/g)
PCB_084_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-084 (pg/g)
PCB_085_116_117_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-085/116/117 (pg/g)
PCB_086_087_097_108_119_125_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-086/087/097/108/119/125 (pg/g)
PCB_088_091_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-088/091 (pg/g)
PCB_090_101_113_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-090/101/113 (pg/g)
PCB_092_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-092 (pg/g)
PCB_093_095_098_100_102_pg_g,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCB-093/095/098/100/102 (pg/g)
